                  Temp     Hi    Low   Out    Dew  Wind  Wind  Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar    Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir   Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11/09/14 12:05a   63.1   63.5   63.1    10    5.6  18.0   NNW  1.50  40.0    NW   57.2   57.5   51.6   49.1   830.0  0.00  0.00     0     0.00      0     0.007   0.000   74.0     9   11.5   69.7   2.19  .0607    0.000   116    1    100.0    5 
11/09/14 12:10a   63.1   63.1   62.8    10    5.6  16.0    NW  1.33  37.0    NW   57.7   57.5   52.1   49.5   829.8  0.00  0.00     0     0.00      0     0.007   0.000   74.0     9   11.5   69.7   2.19  .0607    0.000   117    1    100.0    5 
11/09/14 12:15a   63.4   63.4   63.1    10    5.8  17.0    NW  1.42  33.0   WNW   57.8   57.8   52.2   49.7   829.8  0.00  0.00     0     0.00      0     0.006   0.000   74.2     9   11.7   70.1   2.18  .0607    0.000   117    1    100.0    5 
11/09/14 12:20a   63.8   63.8   63.4    11    8.2  16.0    NW  1.33  29.0    NW   58.6   58.2   53.0   50.4   829.7  0.00  0.00     0     0.00      0     0.004   0.000   74.2     9   11.7   70.1   2.18  .0607    0.000   117    1    100.0    5 
11/09/14 12:25a   63.8   63.8   63.8    10    6.1  17.0    NW  1.42  39.0    NW   58.3   58.1   52.6   50.1   829.7  0.00  0.00     0     0.00      0     0.004   0.000   73.8     9   11.4   69.5   2.20  .0607    0.000   117    1    100.0    5 
11/09/14 12:30a   63.8   63.9   63.8    10    6.1  14.0    NW  1.17  28.0     W   59.2   58.1   53.5   50.7   829.4  0.00  0.00     0     0.00      0     0.004   0.000   73.8     9   11.4   69.5   2.20  .0607    0.000   117    1    100.0    5 
11/09/14 12:35a   63.8   63.8   63.8    11    8.2  14.0    NW  1.17  31.0    NW   59.2   58.2   53.6   50.8   829.4  0.00  0.00     0     0.00      0     0.004   0.000   74.2     9   11.7   70.1   2.18  .0607    0.000   117    1    100.0    5 
11/09/14 12:40a   64.1   64.1   63.8    11    8.4  16.0   WNW  1.33  35.0    NW   58.9   58.5   53.3   50.7   829.3  0.00  0.00     0     0.00      0     0.003   0.000   74.2     9   11.7   70.1   2.18  .0607    0.000   117    1    100.0    5 
11/09/14 12:45a   64.2   64.2   64.1    12   10.5  11.0    NW  0.92  22.0    NW   61.1   58.6   55.5   52.5   829.5  0.00  0.00     0     0.00      0     0.003   0.000   73.8     9   11.4   69.5   2.20  .0607    0.000   118    1    100.0    5 
11/09/14 12:50a   64.1   64.2   64.0    12   10.4   9.0   WNW  0.75  21.0    NW   62.5   58.5   56.9   53.7   829.6  0.00  0.00     0     0.00      0     0.003   0.000   73.8     9   11.4   69.5   2.20  .0607    0.000   117    1    100.0    5 
11/09/14 12:55a   64.4   64.4   64.0    12   10.6   9.0     W  0.75  20.0    NW   62.9   58.8   57.3   54.1   829.8  0.00  0.00     0     0.00      0     0.002   0.000   74.2     9   11.7   70.1   2.18  .0607    0.000   117    1    100.0    5 
11/09/14  1:00a   64.1   64.4   64.1    11    8.4   9.0     W  0.75  22.0   NNW   62.5   58.5   56.9   53.6   830.0  0.00  0.00     0     0.00      0     0.003   0.000   74.0     9   11.5   69.7   2.19  .0607    0.000   117    1    100.0    5 
11/09/14  1:05a   63.8   64.1   63.8    11    8.2   5.0     N  0.42  13.0    NW   63.8   58.2   58.2   54.6   830.0  0.00  0.00     0     0.00      0     0.004   0.000   73.8     9   11.4   69.5   2.20  .0607    0.009   117    1    100.0    5 
11/09/14  1:10a   63.2   63.8   63.2    12    9.7   2.0     E  0.17   7.0    NE   63.2   57.7   57.7   54.1   829.9  0.00  0.00     0     0.00      0     0.006   0.000   73.8     9   11.4   69.5   2.20  .0607    0.000   117    1    100.0    5 
11/09/14  1:15a   63.0   63.2   63.0    12    9.5   5.0     N  0.42  16.0   WNW   63.0   57.5   57.5   53.9   830.0  0.00  0.00     0     0.00      0     0.007   0.000   74.0     9   11.5   69.7   2.19  .0607    0.000   117    1    100.0    5 
