Minuto,Temp
0,18.06
5,17.94
10,17.72
15,17.5
20,17.33
25,17.44
30,17.61
35,17.56
40,17.39
45,17
50,16.83
55,16.83
60,16.78
65,16.94
70,16.56
75,16.44
80,16.56
85,16.61
90,16.5
95,16.33
100,16.06
105,16.11
110,16.28
115,16.94
120,17
125,17
130,16.94
135,16.89
140,17.06
145,17.06
150,16.94
155,17.17
160,17.11
165,17.22
170,17.39
175,17.56
180,17.44
185,17.33
190,17.17
195,17.11
200,17
205,17.22
210,17.17
215,17.22
220,17.17
225,17.22
230,16.89
235,17.22
240,17.28
245,17.11
250,17.06
255,16.72
260,16.33
265,16.06
270,16.06
275,16.5
280,16.5
285,16.67
290,16.17
295,16.17
300,16.28
305,16.5
310,16.56
315,16.56
320,16.61
325,16.56
330,16.56
335,16.5
340,16.39
345,16.39
350,16.22
355,16.22
360,16.17
365,16.11
370,15.94
375,16
380,15.94
385,15.83
390,15.94
395,16
400,15.83
405,15.83
410,15.89
415,15.89
420,15.89
425,15.94
430,15.89
435,16.06
440,16.17
445,16.11
450,16.17
455,16.22
460,16.28
465,16.44
470,16.5
475,16.5
480,16.56
485,16.56
490,16.61
495,16.67
500,16.72
505,17.06
510,17.06
515,16.94
520,16.94
525,16.78
530,16.78
535,16.89
540,16.94
545,17
550,17.22
555,17.22
560,17.11
565,17.11
570,17
575,16.94
580,15.94
585,15.39
590,15.11
595,14.44
600,14.67
605,14.56
610,14.33
615,14.06
620,13.89
625,10.06
630,8.44
635,7.56
640,6.61
645,06.06
650,5.5
655,5.33
660,4.94
665,4.72
670,4.44
675,4.22
680,04.06
685,3.83
690,3.39
695,3
700,2.61
705,2.5
710,2.44
715,2.28
720,1.78
725,1.61
730,01.06
735,0.56
740,0.39
745,0.06
750,0.06
755,-0.06
760,-0.28
765,-0.5
770,-1.17
775,-1.61
780,-1.83
785,-2
790,-2.11
795,-2.39
800,-2.83
805,-3.11
810,-3.28
815,-3.39
820,-3.67
825,-3.72
830,-3.78
835,-3.78
840,-3.94
845,-3.94
850,-3.78
855,-3.67
860,-3.67
865,-3.67
870,-3.89
875,-4.17
880,-4.39
885,-4.5
890,-4.5
895,-4.5
900,-4.72
905,-5
910,-5
915,-5.17
920,-5.06
925,-5
930,-5.17
935,-5.11
940,-5.06
945,-5.11
950,-5.39
955,-5.39
960,-5.5
965,-5.61
970,-5.72
975,-5.78
980,-5.94
985,-6
990,-6
995,-6
1000,-6.11
1005,-6.11
1010,-6
1015,-6.06
1020,-6.06
1025,-6.06
1030,-6
1035,-6.11
1040,-6.33
1045,-6.33
1050,-6.33
1055,-6.44
1060,-6.44
1065,-6.39
1070,-6.44
1075,-6.44
1080,-6.56
1085,-6.33
1090,-6.33
1095,-6.39
1100,-6.39
1105,-6.39
1110,-6.33
1115,-6.22
1120,-6
1125,-5.83
1130,-5.89
1135,-6
1140,-6.06
1145,-6
1150,-6.28
1155,-6.28
1160,-6.33
1165,-6.56
1170,-6.89
1175,-7
1180,-7.06
1185,-7.06
1190,-7.17
1195,-7.17
1200,-7.06
1205,-7.22
1210,-7.44
1215,-7.61
1220,-7.61
1225,-7.72
1230,-7.56
1235,-7.61
1240,-7.56
1245,-7.67
1250,-7.72
1255,-7.67
1260,-7.78
1265,-7.89
1270,-8
1275,-7.94
1280,-8.06
1285,-8
1290,-8.06
1295,-8.22
1300,-8.28
1305,-8.11
1310,-8.22
1315,-8.17
1320,-8
1325,-8
1330,-8.22
1335,-8.17
1340,-8.17
1345,-8.17
1350,-8.06
1355,-8
1360,-8.17
1365,-8.28
1370,-8.56
1375,-8.67
1380,-8.78
1385,-8.94
1390,-9.06
1395,-9.17
1400,-9.11
1405,-9.11
1410,-9.11
1415,-9.17
1420,-9.11
1425,-9.06
1430,-8.94
1435,-8.78
